Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-4-5-6-BH2BCl,c1(B)c(B)c(B)c(B)c(B)c1(Cl),Cl,BH2,BH2,BH2,8.7,1.961807666,1.7424,3.5,-11.097,C1,1.7368,-0.0056,3.577,0.077,-10.785,,3.1056,0.094,-4.965,0.0105,0.00739,-0.00128,-0.00611,0.0347,0.00128,3.89E-06,-0.0105,-1.64,-1.606008218,-1.31,-1.280550038,0.02904365,0.000406312,1.83,-0.00709
2-3-4-5-6-ClBCl,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl),Cl,Cl,Cl,Cl,16,1.937248884,1.7243,4.001,-6.85,C1,1.7239,-0.0004,3.994,-0.007,-5.79,NAN,3.0143,0.101,-6.735,0.0123,0.00888,-0.00152,-0.00736,0.0416,0.00152,2.50E-06,-0.0123,-2.6,-2.583678499,-2.25,-2.232284968,0.017494965,0.000220068,1160.94,-0.01015
2-3-4-5-6-CNBCl,c1(C#N)c(C#N)c(C#N)c(C#N)c(C#N)c1(Cl),Cl,CN,CN,CN,33.7,1.918602769,1.7128,4.234,-8.867,C1,1.7131,0.0003,4.152,-0.082,-7.459,NAN,2.9074,0.155,-7.287,0.0152,0.0111,-0.00181,-0.0093,0.0517,0.00181,7.49E-07,-0.0152,-5.01,-4.986355899,-4.61,-4.586544762,0.023701034,-0.000245795,3.73,-0.01685
2-3-4-5-6-FBCl,c1(F)c(F)c(F)c(F)c(F)c1(Cl),Cl,F,F,F,18.2,1.935858164,1.7208,4.222,-6.394,C1,1.7222,0.0014,4.149,-0.073,-5.08,NAN,2.998,0.109,-6.976,0.0127,0.00918,-0.00155,-0.00763,0.043,0.00155,5.62E-07,-0.0127,-2.85,-2.829743799,-2.52,-2.50123345,0.018775084,-8.53E-06,2.72,-0.01116
2-3-4-5-6-NH2BCl,c1(N)c(N)c(N)c(N)c(N)c1(Cl),Cl,NH2,NH2,NH2,5.3,1.970650733,1.7581,3.463,-6.41,C1,1.7568,-0.0013,3.492,0.029,-6.157,,3.1729,0.054,-4.515,0.00825,0.0059,-0.000999,-0.0049,0.0276,0.000999,2.78E-06,-0.00825,-1.33,-1.303374882,-1.04,-1.018318355,0.018976515,0.002705131,160.57,-0.00124
2-3-4-5-6-OHBCl,c1(O)c(O)c(O)c(O)c(O)c1(Cl),Cl,OH,OH,OH,18.4,1.958470524,1.7499,3.668,-5.265,Cs,1.7485,-0.0014,3.71,0.042,-4.325,,3.0941,0.088,-6.453,0.0107,0.00758,-0.0013,-0.00628,0.0355,0.0013,1.50E-06,-0.0107,-2.38,-2.356702038,-2.1,-2.074786606,0.025633763,-0.000420369,1.93,-0.00758
2-3-4-5-6-SHBCl,c1(S)c(S)c(S)c(S)c(S)c1(Cl),Cl,SH,SH,SH,17.6,1.956330219,1.7496,3.509,-5.787,C1,1.747,-0.0026,3.566,0.057,-4.878,,3.0788,0.092,-6.469,0.011,0.00783,-0.00133,-0.00649,0.0367,0.00133,1.66E-06,-0.011,-2.49,-2.329204571,-2.17,-2.012344199,0.157686862,-3.11E-05,468.51,-0.00718
2-3-5-6-BH2BCl,c1(B)c(B)cc(B)c(B)c1(Cl),Cl,BH2,BH2,H,9.1,1.966981401,1.7676,3.277,-8.918,Cs,1.7631,-0.0045,3.388,0.111,-8.147,,3.1195,0.073,-5.563,0.0102,0.00717,-0.00124,-0.00593,0.0337,0.00124,7.48E-07,-0.0102,-1.65,-1.625718104,-1.36,-1.331908219,0.028269931,-0.00017815,1.66,-0.00712
2-3-5-6-ClBCl,c1(Cl)c(Cl)cc(Cl)c(Cl)c1(Cl),Cl,Cl,Cl,H,14.6,1.938990897,1.7254,3.997,-6.883,C1,1.7249,-0.0005,3.982,-0.015,-5.862,NAN,3.0221,0.098,-6.651,0.0121,0.00874,-0.0015,-0.00724,0.0409,0.0015,2.46E-06,-0.0121,-2.44,-2.418480348,-2.12,-2.102961674,0.016635277,0.000403049,2.46,-0.0099
2-3-5-6-CN-4-CF3BCl,c1(C#N)c(C#N)c(C(F)(F)F)c(C#N)c(C#N)c1(Cl),Cl,CN,CN,CF3,31.5,1.919636309,1.7136,4.218,-8.497,C1,1.7139,0.0003,4.144,-0.074,-7.102,NAN,2.9131,0.152,-7.327,0.015,0.011,-0.0018,-0.00918,0.0511,0.0018,9.85E-07,-0.015,-4.8,-4.784291565,-4.41,-4.392447053,0.017752244,-0.000199297,3.65,-0.01628
2-3-5-6-CN-4-NO2BCl,c1(C#N)c(C#N)c(N(=O)=O)c(C#N)c(C#N)c1(Cl),Cl,CN,CN,NO2,34,1.917480964,1.7124,4.243,-8.648,C1,1.713,0.0006,4.157,-0.086,-7.21,NAN,2.9042,0.156,-7.388,0.0153,0.0112,-0.00182,-0.00936,0.052,0.00182,1.32E-06,-0.0153,-5.06,-5.043904795,-4.66,-4.640051473,0.020080304,-0.000131777,3.78,-0.01697
2-3-5-6-CNBCl,c1(C#N)c(C#N)cc(C#N)c(C#N)c1(Cl),Cl,CN,CN,H,28.2,1.9225332,1.7169,4.184,-8.071,C1,1.717,0.0001,4.119,-0.065,-6.746,NAN,2.9281,0.145,-7.246,0.0146,0.0106,-0.00176,-0.00888,0.0496,0.00176,2.80E-06,-0.0146,-4.4,-4.386180712,-4.02,-4.00238631,0.017940496,-0.000326807,3.45,-0.01517
2-3-5-6-F-4-CF3BCl,c1(F)c(F)c(C(F)(F)F)c(F)c(F)c1(Cl),Cl,F,F,CF3,21.5,1.93243026,1.7171,4.25,-7.629,C1,1.7183,0.0012,4.174,-0.076,-6.335,NAN,2.9839,0.116,-6.86,0.013,0.00946,-0.00159,-0.00787,0.0442,0.00159,1.94E-06,-0.013,-3.2,-3.173361726,-2.86,-2.838147421,0.022138535,-0.000285956,2.85,-0.01187
2-3-5-6-F-4-NO2BCl,c1(F)c(F)c(N(=O)=O)c(F)c(F)c1(Cl),Cl,F,F,NO2,24.2,1.930330868,1.716,4.267,-7.856,C1,1.7174,0.0014,4.178,-0.089,-6.525,NAN,2.971,0.122,-6.925,0.0134,0.00972,-0.00163,-0.00809,0.0454,0.00163,4.12E-07,-0.0134,-3.48,-3.459518608,-3.14,-3.119108954,0.021278847,-0.000387801,3,-0.01261
2-3-5-6-FBCl,c1(F)c(F)cc(F)c(F)c1(Cl),Cl,F,F,H,16.2,1.937066986,1.7207,4.207,-6.996,C1,1.7217,0.001,4.147,-0.06,-5.808,NAN,3.0091,0.104,-6.739,0.0124,0.00897,-0.00153,-0.00745,0.042,0.00153,1.80E-06,-0.0124,-2.65,-2.630101652,-2.33,-2.312354433,0.017444764,0.000200803,2.6,-0.01054
2-3-5-6-NH2BCl,c1(N)c(N)cc(N)c(N)c1(Cl),Cl,NH2,NH2,H,5.5,1.969136723,1.7558,3.482,-7.314,C1,1.7542,-0.0016,3.525,0.043,-7.082,,3.1599,0.06,-4.506,0.00845,0.00606,-0.00104,-0.00503,0.0284,0.00104,9.23E-07,-0.00845,-1.45,-1.43088042,-1.17,-1.154438329,0.011201672,0.004359999,0.55,-0.00213
2-3-5-6-OHBCl,c1(O)c(O)cc(O)c(O)c1(Cl),Cl,OH,OH,H,19.5,1.957524662,1.7504,3.628,-6.348,Cs,1.7485,-0.0019,3.679,0.051,-5.423,,3.0897,0.09,-6.326,0.0108,0.00765,-0.00131,-0.00633,0.0358,0.00131,1.23E-06,-0.0108,-2.49,-2.469337483,-2.21,-2.184932815,0.025198899,-0.000131714,1.95,-0.00777
2-3-5-6-SHBCl,c1(S)c(S)cc(S)c(S)c1(Cl),Cl,SH,SH,H,17.2,1.956516975,1.7495,3.494,-6.298,C1,1.7467,-0.0028,3.558,0.064,-5.461,,3.0801,0.091,-6.385,0.011,0.00779,-0.00133,-0.00646,0.0364,0.00133,5.42E-07,-0.011,-2.48,-2.454800598,-2.17,-2.148745312,0.021623977,-0.000369289,1.92,-0.00777
2-4-6_BH2_3-5_CNBCl,c1(B)c(C#N)c(B)c(C#N)c(B)c1(Cl),Cl,BH2,CN,BH2,21.6,1.950004002,1.7499,3.492,-10.13,C1,1.7462,-0.0037,3.568,0.076,-9.394,,3.0376,0.098,-5.783,0.0119,0.0085,-0.00145,-0.00706,0.0398,0.00145,3.98E-06,-0.0119,-2.98,-2.946881625,-2.65,-2.615720286,0.034751476,-0.000471762,2.35,-0.00999
2-4-6_BH2_3-5_FBCl,c1(B)c(F)c(B)c(F)c(B)c1(Cl),Cl,BH2,F,BH2,12.4,1.954282285,1.7377,3.621,-10.398,C1,1.7334,-0.0043,3.683,0.062,-10.025,,3.0741,0.091,-5.19,0.0111,0.00788,-0.00136,-0.00652,0.0369,0.00136,1.96E-07,-0.0111,-2.07,-2.044984811,-1.73,-1.707207286,0.022706431,8.63E-05,2.04,-0.00792
2-4-6_BH2_3-5_NO2BCl,c1(B)c(N(=O)=O)c(B)c(N(=O)=O)c(B)c1(Cl),Cl,BH2,NO2,BH2,9.9,1.950693467,1.7354,3.852,-10.468,C1,1.7388,0.0034,3.812,-0.04,-8.849,,3.0509,0.093,-5.986,0.0114,0.00815,-0.00138,-0.00677,0.0381,0.00138,1.39E-06,-0.0114,-2.43,-2.43707973,-2.11,-2.120674752,-0.010485684,-0.000189069,2.03,-0.00845
2-4-6_NH2_3-5_CNBCl,c1(N)c(C#N)c(N)c(C#N)c(N)c1(Cl),Cl,NH2,CN,NH2,17.1,1.958485133,1.7487,3.677,-5.316,Cs,1.7472,-0.0015,3.723,0.046,-4.392,,3.1109,0.078,-6.489,0.0104,0.00733,-0.00126,-0.00607,0.0343,0.00126,8.51E-07,-0.0104,-2.12,-2.105133479,-1.84,-1.821738658,0.018674683,-0.000413341,1.77,-0.00705
2-4-6_NH2_3-5_FBCl,c1(N)c(F)c(N)c(F)c(N)c1(Cl),Cl,NH2,F,NH2,8.7,1.962609627,1.7479,3.679,-5.488,Cs,1.7466,-0.0013,3.713,0.034,-5.125,,3.1269,0.067,-4.988,0.00905,0.0065,-0.00109,-0.00542,0.0304,0.00109,1.52E-06,-0.00905,-1.68,-1.6623063,-1.38,-1.366767519,0.010171929,0.003060552,0.74,-0.00288
2-4-6_NH2_3-5_NO2BCl,c1(N)c(N(=O)=O)c(N)c(N(=O)=O)c(N)c1(Cl),Cl,NH2,NO2,NH2,20.2,1.955247573,1.7523,3.58,-4.942,Cs,1.7514,-0.0009,3.613,0.033,-3.958,,3.0926,0.088,-6.714,0.0108,0.00761,-0.00131,-0.0063,0.0357,0.00131,9.34E-07,-0.0108,-2.5,-2.484224518,-2.19,-2.169626273,0.020463085,-8.94E-05,,-0.00577
2-4-6_OH_3-5_CNBCl,c1(O)c(C#N)c(O)c(C#N)c(O)c1(Cl),Cl,OH,CN,OH,30.7,1.945396596,1.7448,3.777,-5.542,C1,1.7442,-0.0006,3.79,0.013,-4.222,,3.0246,0.105,-7.097,0.0122,0.00875,-0.00147,-0.00728,0.0409,0.00147,3.56E-06,-0.0122,-3.74,-3.708483003,-3.42,-3.390617683,0.027999474,0.001382843,2.47,-0.01045
2-4-6_OH_3-5_FBCl,c1(O)c(F)c(O)c(F)c(O)c1(Cl),Cl,OH,F,OH,21.8,1.952274483,1.7474,3.722,-5.14,C1,1.7464,-0.001,3.747,0.025,-4.105,,3.066,0.096,-6.651,0.0113,0.00803,-0.00138,-0.00665,0.0376,0.00138,1.79E-06,-0.0113,-2.83,-2.806638899,-2.54,-2.514238476,0.025652588,0.000108936,2.13,-0.00857
2-4-6_SH_3-5_CNBCl,c1(S)c(C#N)c(S)c(C#N)c(S)c1(Cl),Cl,SH,CN,SH,26.7,1.947156121,1.7428,3.661,-5.886,C1,1.741,-0.0018,3.704,0.043,-4.909,,3.0365,0.1,-6.825,0.012,0.00855,-0.00144,-0.0071,0.04,0.00144,1.90E-06,-0.012,-3.39,-3.363465729,-3.05,-3.022892405,0.026330299,0.000777296,0.26,-0.00954
2-4-6_SH_3-5_FBCl,c1(S)c(F)c(S)c(F)c(S)c1(Cl),Cl,SH,F,SH,19.3,1.951759783,1.7423,3.684,-5.715,C1,1.7402,-0.0021,3.724,0.04,-4.937,,3.0656,0.095,-6.485,0.0113,0.00804,-0.00137,-0.00667,0.0376,0.00137,1.24E-06,-0.0113,-2.67,-2.652986923,-2.36,-2.339409845,0.020870966,-0.000280811,2.09,-0.00858
2-4-6-BH2BCl,c1(B)cc(B)cc(B)c1(Cl),Cl,BH2,H,BH2,7.6,1.961979884,1.744,3.502,-10.675,Cs,1.739,-0.005,3.585,0.083,-10.386,,3.11,0.076,-4.833,0.0104,0.00732,-0.00127,-0.00605,0.0343,0.00127,3.47E-07,-0.0104,-1.55,-1.529100466,-1.23,-1.207792564,0.021999228,0.000208208,1.8,-0.00672
2-4-6-ClBCl,c1(Cl)cc(Cl)cc(Cl)c1(Cl),Cl,Cl,H,Cl,12.5,1.94148439,1.7249,4.035,-6.554,C1,1.7244,-0.0005,4.026,-0.009,-5.685,NAN,3.0397,0.093,-6.448,0.0117,0.00842,-0.00146,-0.00697,0.0395,0.00146,3.13E-06,-0.0117,-2.17,-2.151092275,-1.86,-1.842896099,0.016534875,0.000569026,2.33,-0.00904
2-4-6-CN-3-5-CF3BCl,c1(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c1(Cl),Cl,CN,CF3,CN,29.3,1.920807554,1.7135,4.209,-8.476,C1,1.7135,0,4.144,-0.065,-7.21,NAN,2.9188,0.15,-7.072,0.0148,0.0109,-0.00178,-0.00907,0.0505,0.00178,8.44E-07,-0.0148,-4.59,-4.567995315,-4.19,-4.168709858,0.021592602,-0.00030246,3.54,-0.01573
2-4-6-CN-3-5-NO2BCl,c1(C#N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(C#N)c1(Cl),Cl,CN,NO2,CN,34.7,1.916209191,1.7105,4.272,-8.751,C1,1.7111,0.0006,4.175,-0.097,-7.297,NAN,2.8978,0.158,-7.294,0.0155,0.0113,-0.00185,-0.00949,0.0527,0.00185,2.35E-06,-0.0155,-5.2,-5.175267634,-4.79,-4.769677414,0.02045681,-0.000134224,3.86,-0.01737
2-4-6-CNBCl,c1(C#N)cc(C#N)cc(C#N)c1(Cl),Cl,CN,H,CN,23.6,1.927652214,1.7177,4.148,-8.314,C1,1.717,-0.0007,4.117,-0.031,-7.298,NAN,2.9545,0.132,-6.599,0.0138,0.0101,-0.00168,-0.00839,0.047,0.00168,5.77E-07,-0.0138,-3.82,-3.806938616,-3.46,-3.443888317,0.01634725,-0.000235567,3.15,-0.01325
2-4-6-F-3-5-CF3BCl,c1(F)c(C(F)(F)F)c(F)c(C(F)(F)F)c(F)c1(Cl),Cl,F,CF3,F,21.7,1.931400249,1.718,4.269,-6.544,C1,1.7196,0.0016,4.186,-0.083,-5.117,NAN,2.9808,0.117,-7.161,0.0131,0.00952,-0.0016,-0.00792,0.0445,0.0016,2.17E-06,-0.0131,-3.24,-3.21524171,-2.9,-2.876897108,0.023337078,-0.000234187,2.87,-0.01215
2-4-6-F-3-5-NO2BCl,c1(F)c(N(=O)=O)c(F)c(N(=O)=O)c(F)c1(Cl),Cl,F,NO2,F,26.9,1.926822733,1.7166,4.294,-6.784,C1,1.7189,0.0023,4.182,-0.112,-5.117,NAN,2.9535,0.129,-7.458,0.0138,0.0101,-0.00168,-0.0084,0.047,0.00168,6.48E-07,-0.0138,-3.83,-3.804266053,-3.47,-3.448781896,0.021649078,-0.000430974,3.19,-0.01385
2-4-6-FBCl,c1(F)cc(F)cc(F)c1(Cl),Cl,F,H,F,12.2,1.941666658,1.7236,4.172,-6.236,C1,1.7244,0.0008,4.131,-0.041,-5.15,NAN,3.0385,0.093,-6.602,0.0117,0.00844,-0.00145,-0.00699,0.0396,0.00145,4.42E-06,-0.0117,-2.15,-2.130546359,-1.85,-1.833009992,0.016340347,0.000649661,2.36,-0.00928
2-4-6-NH2BCl,c1(N)cc(N)cc(N)c1(Cl),Cl,NH2,H,NH2,3.5,1.971764491,1.7554,3.504,-5.606,Cs,1.7543,-0.0011,3.516,0.012,-5.474,,3.1979,0.018,-4.278,0.0078,0.00576,-0.00115,-0.00461,0.0276,0.00115,3.27E-06,-0.0078,-1.49,-1.477373854,-1.24,-1.223016455,0.010282371,0.006701174,0.29,-0.00081
2-4-6-OHBCl,c1(O)cc(O)cc(O)c1(Cl),Cl,OH,H,OH,15.9,1.960858942,1.7527,3.593,-5.241,Cs,1.751,-0.0017,3.646,0.053,-4.342,,3.1039,0.083,-6.303,0.0105,0.00742,-0.00128,-0.00614,0.0348,0.00128,1.91E-06,-0.0105,-2.21,-2.186176331,-1.93,-1.907529575,0.023036501,-0.000566076,1.86,-0.00716
2-4-6-SHBCl,c1(S)cc(S)cc(S)c1(Cl),Cl,SH,H,SH,14.8,1.958356137,1.7473,3.571,-5.628,C1,1.7446,-0.0027,3.634,0.063,-4.921,,3.0951,0.086,-6.257,0.0107,0.00757,-0.0013,-0.00627,0.0355,0.0013,1.86E-06,-0.0107,-2.21,-2.184325178,-1.9,-1.878831908,0.021385524,-0.000217432,1.86,-0.00721
2-6_NH2_3-4-5_CNBCl,c1(N)c(C#N)c(C#N)c(C#N)c(N)c1(Cl),Cl,NH2,CN,CN,27.3,1.950415825,1.7428,3.743,-6.958,Cs,1.7411,-0.0017,3.778,0.035,-5.979,,3.0614,0.097,-6.494,0.0114,0.00811,-0.00138,-0.00674,0.038,0.00138,7.19E-07,-0.0114,-3.11,-3.086319884,-2.8,-2.778894346,0.020199531,0.000906124,1.54,-0.00813
2-6_NH2_3-4-5_FBCl,c1(N)c(F)c(F)c(F)c(N)c1(Cl),Cl,NH2,F,F,14.2,1.958715195,1.7458,3.712,-6.062,Cs,1.7443,-0.0015,3.749,0.037,-5.404,,3.1028,0.077,-5.875,0.0101,0.00716,-0.00118,-0.00598,0.0334,0.00118,3.47E-07,-0.0101,-1.98,-1.96480353,-1.71,-1.690256857,0.018599382,0.001143762,1.44,-0.00561
2-6_NH2_3-5_CN_4_NO2BCl,c1(N)c(C#N)c(N(=O)=O)c(C#N)c(N)c1(Cl),Cl,NH2,CN,NO2,27.6,1.949611894,1.7423,3.753,-6.959,C1,1.7406,-0.0017,3.787,0.034,-5.987,,3.0574,0.097,-6.532,0.0115,0.00818,-0.00139,-0.00679,0.0383,0.00139,2.58E-07,-0.0115,-3.17,-3.14553168,-2.86,-2.837821116,0.021228646,0.000950238,2.16,-0.00901
2-6_NH2_3-5_F_4_NO2BCl,c1(N)c(F)c(N(=O)=O)c(F)c(N)c1(Cl),Cl,NH2,F,NO2,20.1,1.953224583,1.7415,3.755,-7.148,C1,1.7398,-0.0017,3.788,0.033,-6.383,,3.0788,0.091,-6.174,0.011,0.00777,-0.00133,-0.00645,0.0364,0.00133,2.90E-06,-0.011,-2.52,-2.497596746,-2.24,-2.215191726,0.024899577,-9.13E-05,1.95,-0.00783
2-6_NH2_3-5_NO2_4_CNBCl,c1(N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(N)c1(Cl),Cl,NH2,NO2,CN,28.7,1.948037341,1.7438,3.707,-6.78,C1,1.7422,-0.0016,3.737,0.03,-5.774,,3.0508,0.098,-6.628,0.0116,0.00829,-0.00141,-0.00688,0.0388,0.00141,2.51E-07,-0.0116,-3.31,-3.289049378,-2.99,-2.96653629,0.022395814,0.001067896,13.94,-0.00849
2-6_NH2_3-5_NO2_4_FBCl,c1(N)c(N(=O)=O)c(F)c(N(=O)=O)c(N)c1(Cl),Cl,NH2,NO2,F,24.6,1.951023768,1.7474,3.677,-5.806,C1,1.7461,-0.0013,3.709,0.032,-4.77,,3.0701,0.095,-6.745,0.0112,0.00797,-0.00136,-0.0066,0.0373,0.00136,1.44E-06,-0.0112,-2.91,-2.882197318,-2.59,-2.566691222,0.022766045,0.000542733,150.1,-0.00763
2-6_OH_3-5_BH2_4_CNBCl,c1(O)c(B)c(C#N)c(B)c(O)c1(Cl),Cl,OH,BH2,CN,27.8,1.952399343,1.7517,3.554,-6.977,C1,1.7495,-0.0022,3.612,0.058,-5.816,,3.049,0.099,-6.481,0.0117,0.00833,-0.00141,-0.00691,0.039,0.00141,2.71E-06,-0.0117,-3.38,-3.35609061,-3.07,-3.041624836,0.027346864,0.0010283,2.26,-0.00935
